,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,PtDiffCum,HStreak,AStreak,oddsH,oddsD,oddsA
83,2005/2006,2005-10-16,2005-10-22,Birmingham,Aston Villa,0,1,A,0,1,3,2,-3,-1,0,3,-3,7.0,8.0,12.0,14.0,-4.0,-5.0,1.0,1.0,-9.0,0,-2,2.3733333333333335,3.1,2.85
84,2005/2006,2005-10-16,2005-10-22,Man City,West Ham,2,1,H,2,1,2,2,0,-1,3,0,3,9.0,11.0,6.0,5.0,2.0,5.0,7.0,5.0,3.0,1,0,1.9333333333333333,3.1999999999999997,3.6333333333333333
85,2005/2006,2005-10-17,2005-10-22,Charlton,Fulham,1,1,D,3,3,2,1,1,2,1,1,0,12.0,7.0,7.0,13.0,-2.0,-5.0,3.0,1.0,-3.0,-2,-1,1.7266666666666666,3.3333333333333335,4.55
86,2005/2006,2005-10-22,2005-10-22,Arsenal,Man City,1,0,H,1,2,0,2,1,0,3,0,3,11.0,9.0,6.0,6.0,7.0,1.0,12.0,7.0,12.0,4,-1,1.4666666666666668,3.8166666666666664,6.6499999999999995
87,2005/2006,2005-10-22,2005-10-22,Aston Villa,Wigan,0,2,A,1,2,2,0,-1,2,0,3,-3,8.0,8.0,14.0,5.0,-4.0,0.0,5.0,6.0,0.0,-1,2,2.033333333333333,3.1166666666666667,3.4499999999999997
88,2005/2006,2005-10-22,2005-10-22,Blackburn,Birmingham,2,0,H,2,0,0,3,2,-3,3,0,3,7.0,7.0,10.0,12.0,0.0,-3.0,7.0,5.0,3.0,1,-1,1.95,3.1666666666666665,3.65
89,2005/2006,2005-10-22,2005-10-22,Fulham,Liverpool,2,0,H,3,0,1,2,2,-2,3,0,3,7.0,5.0,13.0,6.0,-5.0,0.0,4.0,3.0,-6.0,-2,0,3.4499999999999997,3.1166666666666667,2.0833333333333335
90,2005/2006,2005-10-22,2005-10-22,Man United,Tottenham,1,1,D,1,1,1,1,0,0,1,1,0,13.0,11.0,6.0,5.0,0.0,2.0,4.0,8.0,0.0,-1,1,1.57,3.5,5.733333333333334
91,2005/2006,2005-10-22,2005-10-22,Portsmouth,Charlton,1,2,A,1,3,2,2,-1,1,0,3,-3,6.0,12.0,10.0,7.0,-3.0,7.0,3.0,12.0,-3.0,0,4,2.6166666666666667,3.15,2.4833333333333334
92,2005/2006,2005-10-23,2005-10-29,Bolton,West Brom,2,0,H,3,0,0,2,3,-2,3,0,3,10.0,9.0,11.0,16.0,6.0,-7.0,10.0,2.0,6.0,1,-1,1.6900000000000002,3.3333333333333335,4.733333333333333
93,2005/2006,2005-10-23,2005-10-29,Everton,Chelsea,1,1,D,2,5,1,3,1,2,1,1,0,1.0,23.0,11.0,3.0,-6.0,13.0,0.0,12.0,-9.0,-3,4,8.166666666666666,4.4433333333333325,1.3366666666666667
94,2005/2006,2005-10-23,2005-10-29,Newcastle,Sunderland,3,2,H,3,3,2,7,1,-4,3,0,3,5.0,7.0,8.0,14.0,0.0,-3.0,5.0,3.0,0.0,1,1,1.653333333333333,3.4,4.9
95,2005/2006,2005-10-23,2005-10-29,West Ham,Middlesbrough,2,1,H,2,5,3,3,-1,2,3,0,3,12.0,10.0,7.0,12.0,6.0,2.0,7.0,7.0,3.0,0,1,2.3066666666666666,3.15,2.823333333333333
96,2005/2006,2005-10-29,2005-10-29,Birmingham,Everton,0,1,A,0,2,1,1,-1,1,0,3,-3,7.0,1.0,15.0,11.0,-7.0,-7.0,1.0,6.0,-12.0,-1,-4,2.15,3.1333333333333333,3.1666666666666665
97,2005/2006,2005-10-29,2005-10-29,Charlton,Bolton,0,1,A,0,3,1,0,-1,3,0,3,-3,15.0,10.0,9.0,11.0,-1.0,-1.0,4.0,7.0,-3.0,0,-2,2.0500000000000003,3.15,3.366666666666667
98,2005/2006,2005-10-29,2005-10-29,Chelsea,Blackburn,4,2,H,5,2,3,4,2,-2,3,0,3,23.0,9.0,3.0,10.0,21.0,-6.0,21.0,4.0,21.0,5,-1,1.2133333333333334,5.266666666666667,12.166666666666666
99,2005/2006,2005-10-29,2005-10-29,Liverpool,West Ham,2,0,H,2,2,0,3,2,-1,3,0,3,5.0,12.0,8.0,7.0,-1.0,4.0,7.0,5.0,3.0,1,-1,1.623333333333333,3.3666666666666667,5.566666666666666
100,2005/2006,2005-10-29,2005-10-29,Middlesbrough,Man United,4,1,H,5,1,3,4,2,-3,3,0,3,10.0,14.0,12.0,7.0,-4.0,6.0,5.0,13.0,-3.0,0,2,4.166666666666667,3.1999999999999997,1.8333333333333333
101,2005/2006,2005-10-29,2005-10-29,Sunderland,Portsmouth,1,4,A,3,4,7,1,-4,3,0,3,-3,7.0,7.0,14.0,12.0,-4.0,-2.0,2.0,4.0,-9.0,-1,0,2.216666666666667,3.1,3.033333333333333
102,2005/2006,2005-10-29,2005-10-29,Tottenham,Arsenal,1,1,D,1,1,1,1,0,0,1,1,0,12.0,12.0,6.0,6.0,4.0,2.0,10.0,1.0,6.0,2,-1,2.7166666666666663,3.0666666666666664,2.5
103,2005/2006,2005-10-29,2005-10-29,Wigan,Fulham,1,0,H,1,0,0,1,1,-1,3,0,3,10.0,10.0,5.0,14.0,2.0,-3.0,10.0,2.0,6.0,2,0,1.9833333333333332,3.1666666666666665,3.533333333333333
104,2005/2006,2005-10-30,2005-11-05,West Brom,Newcastle,0,3,A,0,4,4,0,-4,4,0,3,-3,9.0,8.0,18.0,10.0,-5.0,-1.0,6.0,4.0,-3.0,1,-1,2.8166666666666664,3.1166666666666667,2.4
105,2005/2006,2005-10-31,2005-11-05,Man City,Aston Villa,3,1,H,4,1,3,5,1,-4,3,0,3,11.0,9.0,8.0,16.0,2.0,-6.0,10.0,4.0,6.0,2,1,1.8433333333333335,3.1833333333333336,4.166666666666667
106,2005/2006,2005-11-05,2005-11-05,Arsenal,Sunderland,3,1,H,3,1,1,3,2,-2,3,0,3,13.0,10.0,7.0,21.0,8.0,-7.0,15.0,3.0,15.0,5,-1,1.2166666666666666,5.333333333333333,11.333333333333334
107,2005/2006,2005-11-05,2005-11-05,Aston Villa,Liverpool,0,2,A,1,2,5,0,-4,2,0,3,-3,9.0,7.0,16.0,8.0,-5.0,-2.0,5.0,3.0,-3.0,-2,-1,3.1333333333333333,3.1166666666666667,2.2
